Incident Address,Missed Count,Fines,Zip Code,Trash Hauler,Trash Route,Council District,State Plan X,State Plan Y
110 George L Davis Blvd,28,5400,37203,METRO,9407,19,1735555.53424545,664657.700582377
5135 Hickory Hollow Pkwy,23,4400,37013,RED RIVER,4504,32,1771715.3976403,625525.306113639
12546 Old Hickory Blvd,21,4000,37013,RED RIVER,4510,33,1789760.34267127,620429.691639881
6007 Obrien Ave,20,3800,37209,RED RIVER,4201,20,1712810.52496768,662291.012044054
3710 N Natchez Ct,20,3800,37211,RED RIVER,4302,16,1751377.76331558,641918.401927307
1584 Bell Rd,19,3600,37211,RED RIVER,4404,31,1762228.96406743,623444.801982233
802 Crescent Rd,19,3600,37205,RED RIVER,2303,24,1721329.20039418,651502.700444166
1816 Jo Johnston Ave,18,3400,37203,METRO,9208,21,1731459.36691767,666013.601228506
320 Old Hickory Blvd,18,3400,37221,RED RIVER,1303,23,1696785.64175782,640242.310297901
15 Hermitage Ave,16,3000,37210,WASTE IND,4507,19,1741257.87409158,664665.162430791
607 Estes Rd,16,3000,37215,RED RIVER,2303,24,1721739.60170849,652520.700474465
14881 Old Hickory Blvd,15,2800,37013,RED RIVER,4403,31,1760853.11608307,622885.538203958
2731 Murfreesboro Pike,15,2800,37013,RED RIVER,4502,32,1781139.3630718,632445.602376676
3929 Stewarts Ln,15,2800,37218,RED RIVER,3203,1,1713734.39887278,680063.483969689
1601 S Observatory Dr,15,2800,37215,RED RIVER,3305,25,1731621.8312364,645571.303329742
1537 Harding Pl,15,2800,37215,RED RIVER,3303,34,1726689.93278431,640624.097111328
2813 Delaware Ave,15,2800,37209,METRO,9303,21,1726417.93253751,664270.500983901
617 Kinsey Blvd,14,2600,37115,RED RIVER,3314,9,1765040.19887177,699519.199573809
162 Antioch Pike,14,2600,37211,RED RIVER,4304,16,1753144.96479326,644275.202194266
116 Margaret St,13,2400,37115,RED RIVER,3314,9,1761405.79799504,700626.39983088
4024 Stewarts Ln,12,2200,37218,RED RIVER,4202,1,1714702.33152131,682276.61985986
209 Page Rd,12,2200,37205,RED RIVER,1302,34,1711982.60169369,641803.200126018
14550 Old Hickory Blvd,12,2200,37013,RED RIVER,4403,31,1766766.59805733,618419.200269798
1818 28Th Ave N,12,2200,37208,METRO,9201,21,1725645.13219829,674303.303101013
215 6Th Ave N,11,2000,37219,,,19,1737605.93208598,666928.100802998
111 Barton Ln,11,2000,37214,RED RIVER,1501,15,1763767.33698454,691754.934594888
4409 Granny White Pike,11,2000,37204,RED RIVER,3302,25,1731778.73266281,643685.698133302
14885 Old Hickory Blvd,11,2000,37013,RED RIVER,4403,31,1760853.13727768,622887.292270009
2401 Frisco Ave,11,2000,37209,RED RIVER,4203,20,1710739.95452657,667034.701572427
2774 Smith Springs Rd,11,2000,37217,RED RIVER,2505,29,1786895.36366149,639764.802373065
543 Richmar Dr,11,2000,37220,RED RIVER,2403,26,1744428.19971778,636444.800297336
502 Georgetown Dr,11,2000,37205,RED RIVER,1305,23,1707971.36745512,651574.400862528
1402 Lillian St,11,2000,37206,METRO,9506,6,1748250.68158806,670329.479392333
